Source;Target;Type
Celestial mechanics;Medicine;Undirected
Horses;Veterinary medicine;Undirected
Horses;Early printed books;Undirected
Horses;Veterinary medicine;Undirected
Horses;Early printed books;Undirected
Veterinary medicine;Horses;Undirected
Veterinary medicine;Early printed books;Undirected
Yellow fever;Medicine;Undirected
Wine and wine making;Mathematics;Undirected
Wine and wine making;Early printed books;Undirected
Mathematics;Early printed books;Undirected
Judgment of God;Sermons, American;Undirected
Humane Society of Philadelphia;Medicine;Undirected
Humane Society of Philadelphia;Drowning;Undirected
Medicine;Drowning;Undirected
Indians of North America;Northwestern States;Undirected
Indians of North America;Mississippi River;Undirected
Indians of North America;Minnesota;Undirected
Northwestern States;Mississippi River;Undirected
Northwestern States;Minnesota;Undirected
Mississippi River;Northwestern States;Undirected
Mississippi River;Minnesota;Undirected
Medicine, Popular;Gout;Undirected
Medicine, Popular;Early printed books;Undirected
Gout;Early printed books;Undirected
Medicine, Popular;Early printed books;Undirected
Congregational churches;Massachuset language;Undirected
Congregational churches;Indians of North America;Undirected
Massachuset language;Indians of North America;Undirected
Astrology;Mexico;Undirected
Astrology;Mexico;Undirected
Scarlatina;Medicine;Undirected
Physiology;Pathology;Undirected
Physiology;Medicine;Undirected
Physiology;Evolution;Undirected
Pathology;Medicine;Undirected
Pathology;Evolution;Undirected
Medicine;Pathology;Undirected
Medicine;Evolution;Undirected
Sexually transmitted diseases;Syphilis;Undirected
Uterine hemorrhage;Gynecology;Undirected
Physiology;Pathology;Undirected
Physiology;Medicine;Undirected
Pathology;Medicine;Undirected
Physiology;Pathology;Undirected
Physiology;Medicine;Undirected
Pathology;Medicine;Undirected
Physiology;Pathology;Undirected
Physiology;Medicine;Undirected
Pathology;Medicine;Undirected
Hosiery;Therapeutics;Undirected
United States;Great Britain;Undirected
Sexually transmitted diseases;Medicine;Undirected
Mary, Blessed Virgin, Saint;Catholic Church;Undirected
Mary, Blessed Virgin, Saint;Epidemics;Undirected
Mary, Blessed Virgin, Saint;Guadalupe, Our Lady of;Undirected
Mary, Blessed Virgin, Saint;Mexico City;Undirected
Catholic Church;Epidemics;Undirected
Catholic Church;Guadalupe, Our Lady of;Undirected
Catholic Church;Mexico City;Undirected
Epidemics;Catholic Church;Undirected
Epidemics;Guadalupe, Our Lady of;Undirected
Epidemics;Mexico City;Undirected
Guadalupe, Our Lady of;Catholic Church;Undirected
Guadalupe, Our Lady of;Epidemics;Undirected
Guadalupe, Our Lady of;Mexico City;Undirected
Mary, Blessed Virgin, Saint;Catholic Church;Undirected
Mary, Blessed Virgin, Saint;Epidemics;Undirected
Mary, Blessed Virgin, Saint;Guadalupe, Our Lady of;Undirected
Mary, Blessed Virgin, Saint;Mexico City;Undirected
Catholic Church;Epidemics;Undirected
Catholic Church;Guadalupe, Our Lady of;Undirected
Catholic Church;Mexico City;Undirected
Epidemics;Catholic Church;Undirected
Epidemics;Guadalupe, Our Lady of;Undirected
Epidemics;Mexico City;Undirected
Guadalupe, Our Lady of;Catholic Church;Undirected
Guadalupe, Our Lady of;Epidemics;Undirected
Guadalupe, Our Lady of;Mexico City;Undirected
Yellow fever;Grenada;Undirected
Yellow fever;Grenada;Undirected
Arithmetic;Bookkeeping;Undirected
United States. Army;Military law;Undirected
United States. Army;United States. Army. Infantry;Undirected
Medicine, Popular;Early printed books;Undirected
Diet;Hygiene;Undirected
Diet;Early printed books;Undirected
Hygiene;Early printed books;Undirected
Commerce;Luxury;Undirected
Temperature measurements;Navigation;Undirected
Horses;Early printed books;Undirected
Gout;Early printed books;Undirected
Jesus Christ;Patten, William, 1763-1839;Undirected
Jesus Christ;Ordination sermons;Undirected
Patten, William, 1763-1839;Ordination sermons;Undirected
Elocution;Oratory;Undirected
Elocution;Oratory;Undirected
Yellow fever;Plague;Undirected
Formulas, recipes, etc.;Industrial arts;Undirected
Medicine, Popular;Early printed books;Undirected
Puerperal septicemia;Obstetrics;Undirected
Consolation;Sick;Undirected
Consolation;Christian life;Undirected
Consolation;Medicine;Undirected
Consolation;Early printed books;Undirected
Sick;Christian life;Undirected
Sick;Medicine;Undirected
Sick;Early printed books;Undirected
Christian life;Sick;Undirected
Christian life;Medicine;Undirected
Christian life;Early printed books;Undirected
Medicine;Sick;Undirected
Medicine;Christian life;Undirected
Medicine;Early printed books;Undirected
Brown, John, 1735-1788. Elementa medicinae Brunonis;Medicine;Undirected
Brown, John, 1735-1788. Elementa medicinae Brunonis;Communicable diseases;Undirected
Brown, John, 1735-1788. Elementa medicinae Brunonis;Early printed books;Undirected
Medicine;Communicable diseases;Undirected
Medicine;Early printed books;Undirected
Communicable diseases;Medicine;Undirected
Communicable diseases;Early printed books;Undirected
Yellow fever;Plague;Undirected
Yellow fever;Plague;Undirected
Usher, John, 1722-1804;Ordination sermons;Undirected
Alien and Sedition laws, 1798;Kentucky and Virginia resolutions of 1798;Undirected
Astringents;Acids;Undirected
Botany, Medical;Phytolaccaceae;Undirected
Blood;Putrefaction;Undirected
Physiology;Life (Biology);Undirected
Respiration;Light;Undirected
Children;Diarrhea;Undirected
Sleep;Dreams;Undirected
Sleep;Psychology;Undirected
Dreams;Psychology;Undirected
Indians of North America;Massachuset language;Undirected
Indians of North America;Massachusetts;Undirected
Indians of North America;Massachusetts;Undirected
Massachuset language;Massachusetts;Undirected
Massachuset language;Massachusetts;Undirected
Massachusetts;Massachuset language;Undirected
Science;Evolution;Undirected
Gujer, Jakob, 1716-1785;Agriculture;Undirected
Obstetrics;Puerperal septicemia;Undirected
Pharmacopoeias;Dispensatories;Undirected
Pharmacopoeias;Dispensatories;Undirected
Pharmacopoeias;Dispensatories;Undirected
Agriculture;Industrial arts;Undirected
Agriculture;Industrial arts;Undirected
Agriculture;Industrial arts;Undirected
Agriculture;Industrial arts;Undirected
Nitric acid;Hydrochloric acid;Undirected
Stiles, Ezra, 1727-1795;Ordination sermons;Undirected
Medicine;Early printed books;Undirected
Medicine;Early printed books;Undirected
Sexually transmitted diseases;Gonorrhea;Undirected
Sexually transmitted diseases;Syphilis;Undirected
Gonorrhea;Syphilis;Undirected
Sexually transmitted diseases;Gonorrhea;Undirected
Sexually transmitted diseases;Syphilis;Undirected
Gonorrhea;Syphilis;Undirected
Ulcers;Joints;Undirected
Ulcers;Joints;Undirected
Natural history;Birds;Undirected
Natural history;Phenology;Undirected
Birds;Phenology;Undirected
Human anatomy;Early printed books;Undirected
Storms;Bozrah (Conn.);Undirected
Storms;Lebanon (Conn.);Undirected
Storms;Franklin (Conn.);Undirected
Bozrah (Conn.);Lebanon (Conn.);Undirected
Bozrah (Conn.);Franklin (Conn.);Undirected
Lebanon (Conn.);Bozrah (Conn.);Undirected
Lebanon (Conn.);Franklin (Conn.);Undirected
Thanksgiving Day addresses;Yellow fever;Undirected
Communicable diseases;Epidemics;Undirected
Mineralogy;Metallurgy;Undirected
Mineralogy;Chemistry;Undirected
Mineralogy;Early printed books;Undirected
Metallurgy;Chemistry;Undirected
Metallurgy;Early printed books;Undirected
Chemistry;Metallurgy;Undirected
Chemistry;Early printed books;Undirected
Field crops;Crop rotation;Undirected
Field crops;Crop rotation;Undirected
Scarlatina;Yellow fever;Undirected
Angina maligna;Medicine;Undirected
Fast-day sermons;Repentance;Undirected
Fast-day sermons;Early printed books;Undirected
Repentance;Early printed books;Undirected
Cinchona;Fever;Undirected
Cinchona;Fever;Undirected
Medicine, Military;Medicine, Naval;Undirected
Medicine, Military;Early printed books;Undirected
Medicine, Naval;Early printed books;Undirected
Human reproduction;Medicine, Popular;Undirected
Hygiene;Longevity;Undirected
United States;Nantucket (Mass.);Undirected
Yellow fever;Plague;Undirected
Howard, John, 1726-1790;Early printed books;Undirected
Indians;Indians of North America;Undirected
Indians of North America;Southern States;Undirected
Dispensatories;Pharmacopoeias;Undirected
Dispensatories;Early printed books;Undirected
Pharmacopoeias;Early printed books;Undirected
Dispensatories;Pharmacopoeias;Undirected
Dispensatories;Great Britain;Undirected
Pharmacopoeias;Great Britain;Undirected
Geography;United States;Undirected
Geography;United States;Undirected
Geography;France;Undirected
United States;France;Undirected
United States;France;Undirected
Theological anthropology;Salvation;Undirected
Voyages, Imaginary;Utopias;Undirected
Earthquakes;Sermons, American;Undirected
Earthquakes;Sermons, American;Undirected
Richardson, William, fl. 1753. Liberties of the laity not infringed by the sacred dignity of the Christian priesthood;McSparran, James, 1693-1757. Sacred dignity of the Christian priesthood;Undirected
Richardson, William, fl. 1753. Liberties of the laity not infringed by the sacred dignity of the Christian priesthood;Ordination;Undirected
Richardson, William, fl. 1753. Liberties of the laity not infringed by the sacred dignity of the Christian priesthood;Clergy;Undirected
McSparran, James, 1693-1757. Sacred dignity of the Christian priesthood;Ordination;Undirected
McSparran, James, 1693-1757. Sacred dignity of the Christian priesthood;Clergy;Undirected
Ordination;McSparran, James, 1693-1757. Sacred dignity of the Christian priesthood;Undirected
Ordination;Clergy;Undirected
Piano music;Waltzes;Undirected
Catholic Church;Peru. Ejrcito;Undirected
Catholic Church;Peru;Undirected
Peru. Ejrcito;Peru;Undirected
Margil de Jess, Antonio, Father, 1657-1726;Franciscans;Undirected
Margil de Jess, Antonio, Father, 1657-1726;Indians of Central America;Undirected
Margil de Jess, Antonio, Father, 1657-1726;Missions;Undirected
Franciscans;Indians of Central America;Undirected
Franciscans;Missions;Undirected
Indians of Central America;Franciscans;Undirected
Indians of Central America;Missions;Undirected
Paine, Thomas, 1737-1809. Age of reason;Bible;Undirected
Dana, James, 1735-1812. Examination of the late Reverend President Edward's  Enquiry on freedom of will.;Edwards, Jonathan, 1703-1758. Careful and strict inquiry into the modern prevailing notions of that freedom of will .Free will and determinism;Undirected
Christian martyrs;Persecution;Undirected
Christian martyrs;Church history;Undirected
Persecution;Church history;Undirected
Christian martyrs;Persecution;Undirected
Christian martyrs;Church history;Undirected
Persecution;Church history;Undirected
Science;Encyclopedias and dictionaries, French;Undirected
Devotional exercises;Nature;Undirected
Devotional exercises;Providence and government of God;Undirected
Devotional exercises;Seasons;Undirected
Nature;Providence and government of God;Undirected
Nature;Seasons;Undirected
Providence and government of God;Nature;Undirected
Providence and government of God;Seasons;Undirected
Park, Mungo, 1771-1806;Explorers;Undirected
Park, Mungo, 1771-1806;Mandingo language;Undirected
Park, Mungo, 1771-1806;Africa, West;Undirected
Park, Mungo, 1771-1806;Niger River;Undirected
Explorers;Mandingo language;Undirected
Explorers;Africa, West;Undirected
Explorers;Niger River;Undirected
Mandingo language;Explorers;Undirected
Mandingo language;Africa, West;Undirected
Mandingo language;Niger River;Undirected
Africa, West;Explorers;Undirected
Africa, West;Mandingo language;Undirected
Africa, West;Niger River;Undirected
Ethics;Utilitarianism;Undirected
Conduct of life;Maxims;Undirected
Young women;Women;Undirected
Young women;Conduct of life;Undirected
Women;Conduct of life;Undirected
Young women;Conduct of life;Undirected
Young women;Conduct of life;Undirected
Young women;Women;Undirected
Young women;Conduct of life;Undirected
Women;Conduct of life;Undirected
Conduct of life;Maxims;Undirected
Conduct of life;Etiquette;Undirected
Conduct of life;Etiquette;Undirected
Conduct of life;Etiquette;Undirected
Conduct of life;Etiquette;Undirected
United States;Nantucket (Mass.);Undirected
Smith, Adam, 1723-1790;Interest;Undirected
Commerce;Money;Undirected
Commerce;Foreign exchange;Undirected
Money;Foreign exchange;Undirected
Money;Commercial products;Undirected
Arithmetic;Money;Undirected
Finance, Public;Morris, Robert, 1734-1806;Undirected
Finance;United States;Undirected
Finance, Public;Debts, Public;Undirected
Trenck, Franz, Freiherr von der, 1711-1749;Trenck, Friedrich, Freiherr von der, 1726-1794;Undirected
Trenck, Franz, Freiherr von der, 1711-1749;Prisoners;Undirected
Trenck, Franz, Freiherr von der, 1711-1749;Prisoners;Undirected
Trenck, Franz, Freiherr von der, 1711-1749;Nobility;Undirected
Trenck, Franz, Freiherr von der, 1711-1749;Nobility;Undirected
Trenck, Franz, Freiherr von der, 1711-1749;Soldiers;Undirected
Trenck, Franz, Freiherr von der, 1711-1749;Soldiers;Undirected
Trenck, Friedrich, Freiherr von der, 1726-1794;Prisoners;Undirected
Trenck, Friedrich, Freiherr von der, 1726-1794;Prisoners;Undirected
Trenck, Friedrich, Freiherr von der, 1726-1794;Nobility;Undirected
Trenck, Friedrich, Freiherr von der, 1726-1794;Nobility;Undirected
Trenck, Friedrich, Freiherr von der, 1726-1794;Soldiers;Undirected
Trenck, Friedrich, Freiherr von der, 1726-1794;Soldiers;Undirected
Prisoners;Trenck, Friedrich, Freiherr von der, 1726-1794;Undirected
Prisoners;Nobility;Undirected
Prisoners;Nobility;Undirected
Prisoners;Soldiers;Undirected
Prisoners;Soldiers;Undirected
Prisoners;Trenck, Friedrich, Freiherr von der, 1726-1794;Undirected
Prisoners;Nobility;Undirected
Prisoners;Nobility;Undirected
Prisoners;Soldiers;Undirected
Prisoners;Soldiers;Undirected
Nobility;Trenck, Friedrich, Freiherr von der, 1726-1794;Undirected
Nobility;Prisoners;Undirected
Nobility;Prisoners;Undirected
Nobility;Soldiers;Undirected
Nobility;Soldiers;Undirected
Nobility;Trenck, Friedrich, Freiherr von der, 1726-1794;Undirected
Nobility;Prisoners;Undirected
Nobility;Prisoners;Undirected
Nobility;Soldiers;Undirected
Nobility;Soldiers;Undirected
Soldiers;Trenck, Friedrich, Freiherr von der, 1726-1794;Undirected
Soldiers;Prisoners;Undirected
Soldiers;Prisoners;Undirected
Soldiers;Nobility;Undirected
Soldiers;Nobility;Undirected
Rochester, John Wilmot, Earl of, 1647-1680;Poets, English;Undirected
Rochester, John Wilmot, Earl of, 1647-1680;Great Britain;Undirected
Poets, English;Great Britain;Undirected
Prisons;France;Undirected
Sicily (Italy);Malta;Undirected
Spanish poetry;Portuguese poetry;Undirected
Spanish poetry;Spain;Undirected
Spanish poetry;Portugal;Undirected
Portuguese poetry;Spain;Undirected
Portuguese poetry;Portugal;Undirected
Spain;Portuguese poetry;Undirected
Spain;Portugal;Undirected
Shabbethai Tzevi, 1626-1676;Jews;Undirected
Shabbethai Tzevi, 1626-1676;Lost tribes of Israel;Undirected
Shabbethai Tzevi, 1626-1676;Jerusalem;Undirected
Shabbethai Tzevi, 1626-1676;Palestine;Undirected
Jews;Lost tribes of Israel;Undirected
Jews;Jerusalem;Undirected
Jews;Palestine;Undirected
Lost tribes of Israel;Jews;Undirected
Lost tribes of Israel;Jerusalem;Undirected
Lost tribes of Israel;Palestine;Undirected
Jerusalem;Jews;Undirected
Jerusalem;Lost tribes of Israel;Undirected
Jerusalem;Palestine;Undirected
Slavery;Algeria;Undirected
Slavery;New England;Undirected
Algeria;New England;Undirected
Slavery;Algeria;Undirected
Slavery;New England;Undirected
Algeria;New England;Undirected
Slavery;Algeria;Undirected
Slavery;New England;Undirected
Algeria;New England;Undirected
Slavery;Algeria;Undirected
Slavery;New England;Undirected
Algeria;New England;Undirected
Ethiopia;Nile River;Undirected
Ethiopia;Nile River;Undirected
Christian biography;Death;Undirected
Christian biography;Consolation;Undirected
Death;Consolation;Undirected
Theological anthropology;Salvation;Undirected
Chauncy, Charles, 1705-1787. Salvation of all men;Future life;Undirected
Chauncy, Charles, 1705-1787. Salvation of all men;Future punishment;Undirected
Future life;Future punishment;Undirected
Ames, Levi, 1752-1773;Execution sermons;Undirected
Ames, Levi, 1752-1773;Execution sermons;Undirected
Psalmody;Hymns;Undirected
Fish, Joseph, 1706-1781. Examiner examined;Church and state;Undirected
Congregational churches;Law and gospel;Undirected
Breck, Robert, 1713-1784;Ordination sermons;Undirected
Holmes, Abiel, 1763-1837;First Church (Cambridge, Mass.);Undirected
Holmes, Abiel, 1763-1837;Installation sermons;Undirected
Holmes, Abiel, 1763-1837;Congregational churches;Undirected
Holmes, Abiel, 1763-1837;Sermons, American;Undirected
First Church (Cambridge, Mass.);Installation sermons;Undirected
First Church (Cambridge, Mass.);Congregational churches;Undirected
First Church (Cambridge, Mass.);Sermons, American;Undirected
Installation sermons;First Church (Cambridge, Mass.);Undirected
Installation sermons;Congregational churches;Undirected
Installation sermons;Sermons, American;Undirected
Congregational churches;First Church (Cambridge, Mass.);Undirected
Congregational churches;Installation sermons;Undirected
Congregational churches;Sermons, American;Undirected
Great Britain. Army;Military art and science;Undirected
Great Britain. Army;Massachusetts;Undirected
Military art and science;Massachusetts;Undirected
Great Britain. Army;Military art and science;Undirected
Great Britain. Army;Massachusetts;Undirected
Military art and science;Massachusetts;Undirected
Tactics;Cavalry;Undirected
Tactics;Infantry;Undirected
Cavalry;Infantry;Undirected
United States. Army;United States. Army. Infantry;Undirected
United States. Army;United States. Army. Infantry;Undirected
Military art and science;Cavalry drill and tactics;Undirected
Bouquet's Expedition, 1764;Bushy Run, Battle of, Pa., 1763;Undirected
Bouquet's Expedition, 1764;Indians;Undirected
Bouquet's Expedition, 1764;Indians of North America;Undirected
Bushy Run, Battle of, Pa., 1763;Indians;Undirected
Bushy Run, Battle of, Pa., 1763;Indians of North America;Undirected
Indians;Bushy Run, Battle of, Pa., 1763;Undirected
Indians;Indians of North America;Undirected
United States. Army;Military law;Undirected
Congregational churches;Sermons, American;Undirected
Salvation;Presbyterian Church;Undirected
Salvation;Sermons, American;Undirected
Presbyterian Church;Sermons, American;Undirected
Episcopal Church;Sermons, American;Undirected
Episcopal Church;Sermons, American;Undirected
Scott, Job, 1751-1793;Quakers;Undirected
Scott, Job, 1751-1793;Quakers;Undirected
Freedom of religion;Baptists;Undirected
Shakers;Watervliet (N.Y.);Undirected
Brown University;Universities and colleges;Undirected
Brown University;Rhode Island;Undirected
Brown University;Universities and colleges;Undirected
Brown University;Rhode Island;Undirected
Universities and colleges;Brown University;Undirected
Universities and colleges;Rhode Island;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Charities;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Food;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Fireplaces;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Heat;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Poor;Undirected
Charities;Food;Undirected
Charities;Fireplaces;Undirected
Charities;Heat;Undirected
Charities;Poor;Undirected
Food;Charities;Undirected
Food;Fireplaces;Undirected
Food;Heat;Undirected
Food;Poor;Undirected
Fireplaces;Charities;Undirected
Fireplaces;Food;Undirected
Fireplaces;Heat;Undirected
Fireplaces;Poor;Undirected
Heat;Charities;Undirected
Heat;Food;Undirected
Heat;Fireplaces;Undirected
Heat;Poor;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Charities;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Food;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Fireplaces;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Heat;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Poor;Undirected
Charities;Food;Undirected
Charities;Fireplaces;Undirected
Charities;Heat;Undirected
Charities;Poor;Undirected
Food;Charities;Undirected
Food;Fireplaces;Undirected
Food;Heat;Undirected
Food;Poor;Undirected
Fireplaces;Charities;Undirected
Fireplaces;Food;Undirected
Fireplaces;Heat;Undirected
Fireplaces;Poor;Undirected
Heat;Charities;Undirected
Heat;Food;Undirected
Heat;Fireplaces;Undirected
Heat;Poor;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Charities;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Food;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Fireplaces;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Heat;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Poor;Undirected
Charities;Food;Undirected
Charities;Fireplaces;Undirected
Charities;Heat;Undirected
Charities;Poor;Undirected
Food;Charities;Undirected
Food;Fireplaces;Undirected
Food;Heat;Undirected
Food;Poor;Undirected
Fireplaces;Charities;Undirected
Fireplaces;Food;Undirected
Fireplaces;Heat;Undirected
Fireplaces;Poor;Undirected
Heat;Charities;Undirected
Heat;Food;Undirected
Heat;Fireplaces;Undirected
Heat;Poor;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Charities;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Food;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Fireplaces;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Heat;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Poor;Undirected
Charities;Food;Undirected
Charities;Fireplaces;Undirected
Charities;Heat;Undirected
Charities;Poor;Undirected
Food;Charities;Undirected
Food;Fireplaces;Undirected
Food;Heat;Undirected
Food;Poor;Undirected
Fireplaces;Charities;Undirected
Fireplaces;Food;Undirected
Fireplaces;Heat;Undirected
Fireplaces;Poor;Undirected
Heat;Charities;Undirected
Heat;Food;Undirected
Heat;Fireplaces;Undirected
Heat;Poor;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Charities;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Food;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Fireplaces;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Heat;Undirected
Rumford, Benjamin, Graf von, 1753-1814;Poor;Undirected
Charities;Food;Undirected
Charities;Fireplaces;Undirected
Charities;Heat;Undirected
Charities;Poor;Undirected
Food;Charities;Undirected
Food;Fireplaces;Undirected
Food;Heat;Undirected
Food;Poor;Undirected
Fireplaces;Charities;Undirected
Fireplaces;Food;Undirected
Fireplaces;Heat;Undirected
Fireplaces;Poor;Undirected
Heat;Charities;Undirected
Heat;Food;Undirected
Heat;Fireplaces;Undirected
Heat;Poor;Undirected
Bowdoinham Association;Baptists;Undirected
Charles III, King of Spain, 1716-1788;Universidad de Mxico;Undirected
Charles III, King of Spain, 1716-1788;Mexican poetry;Undirected
Universidad de Mxico;Mexican poetry;Undirected
Plants;Botany;Undirected
Plague;Yellow fever;Undirected
Plague;Yellow fever;Undirected
Medicine, Popular;Medicine;Undirected
Medicine, Military;Medicine, Naval;Undirected
Medicine, Military;Medicine, Naval;Undirected
Kames, Henry Home, Lord, 1696-1782. Essays on the principles of morality and natural religion;Free will and determinism;Undirected
Congregational churches;Church discipline;Undirected
Congregational churches;New England;Undirected
Church discipline;New England;Undirected
Boston Port Bill, 1774;Massachusetts;Undirected
Boston Port Bill, 1774;Constitutional history;Undirected
Massachusetts;Constitutional history;Undirected
Physiology;Electrophysiology;Undirected
Physiology;Electrophysiology;Undirected
Physiology;Electrophysiology;Undirected
Kames, Henry Home, Lord, 1696-1782. Sketches of the history of man;Anthropology;Undirected
Kames, Henry Home, Lord, 1696-1782. Sketches of the history of man;Human skin color;Undirected
Anthropology;Human skin color;Undirected
Kames, Henry Home, Lord, 1696-1782. Sketches of the history of man;Anthropology;Undirected
Kames, Henry Home, Lord, 1696-1782. Sketches of the history of man;Human skin color;Undirected
Anthropology;Human skin color;Undirected
Kames, Henry Home, Lord, 1696-1782. Sketches of the history of man;Anthropology;Undirected
Kames, Henry Home, Lord, 1696-1782. Sketches of the history of man;Human skin color;Undirected
Anthropology;Human skin color;Undirected
Mather, Cotton, 1663-1728. Pietas in patriam: The life of Sir William Phips;Mather, Cotton, 1663-1728. Wonders of the invisible world;Undirected
Mather, Cotton, 1663-1728. Pietas in patriam: The life of Sir William Phips;Phips, William, Sir, 1651-1695;Undirected
Mather, Cotton, 1663-1728. Pietas in patriam: The life of Sir William Phips;Parris, Samuel, 1653-1720;Undirected
Mather, Cotton, 1663-1728. Pietas in patriam: The life of Sir William Phips;Rule, Margaret;Undirected
Mather, Cotton, 1663-1728. Wonders of the invisible world;Phips, William, Sir, 1651-1695;Undirected
Mather, Cotton, 1663-1728. Wonders of the invisible world;Parris, Samuel, 1653-1720;Undirected
Mather, Cotton, 1663-1728. Wonders of the invisible world;Rule, Margaret;Undirected
Phips, William, Sir, 1651-1695;Mather, Cotton, 1663-1728. Wonders of the invisible world;Undirected
Phips, William, Sir, 1651-1695;Parris, Samuel, 1653-1720;Undirected
Phips, William, Sir, 1651-1695;Rule, Margaret;Undirected
Parris, Samuel, 1653-1720;Mather, Cotton, 1663-1728. Wonders of the invisible world;Undirected
Parris, Samuel, 1653-1720;Phips, William, Sir, 1651-1695;Undirected
Parris, Samuel, 1653-1720;Rule, Margaret;Undirected
Johnson, Mrs. (Susannah Willard), 1730-1810;Indian captivities;Undirected
Johnson, Mrs. (Susannah Willard), 1730-1810;Abenaki Indians;Undirected
Johnson, Mrs. (Susannah Willard), 1730-1810;Charlestown (N.H.);Undirected
Indian captivities;Abenaki Indians;Undirected
